web-scraper-order,web-scraper-start-url,product,product-href,product_name,product_rating,rating_amount,price,product_sold,condition,unit_weight,category,store_name,store_rating,store_location,description,image_1-src
"1661942983-1325","https://www.tokopedia.com/search?page=5&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","MacBook Pro 16"" 2021 M1 Max 32GB | 1TB 10 Core CPU 32 GPU Gray MK1A3Rp56.850.000Jakarta TimurJullindo JIS5.0Terjual 4","https://www.tokopedia.com/fanzoell/macbook-pro-16-2021-m1-max-32gb-1tb-10-core-cpu-32-gpu-gray-mk1a3-space-grey?extParam=ivf%3Dfalse%26src%3Dsearch","MacBook Pro 16"" 2021 M1 Max 32GB | 1TB 10 Core CPU 32 GPU Gray MK1A3 - Space Grey","5","(2 rating)","Rp56.850.000","Terjual 4","Baru","5 kg","Laptop Consumer","Jullindo JIS","4.9","Jakarta Timur","New Macbook Pro M1 Max Ram 32/1TB SSD Space Grey 
Garansi 1 Tahun Resmi Apple Internasional 

Apple M1 Max chip
10-core CPU with 8 performance cores and 2 efficiency cores
32-core GPU
16-core Neural Engine
400GB/s memory bandwidth
Media engine
Hardware-accelerated H.264, HEVC, ProRes and ProRes RAW
Video decode engine
Two video encode engines
Two ProRes encode and decode engines

Liquid Retina XDR display
16.2-inch (diagonal) Liquid Retina XDR display; 3456x2234 native resolution at 254 pixels per inch

XDR (Extreme Dynamic Range)
Up to 1,000 nits sustained (full-screen) brightness, 1,600 nits peak brightness
1,000,000:1 contrast ratio

MEMORY RAM 32GB
Storage SSD 1TB

Detail Spesifikasi
https://www.apple.com/sg/macbook-pro-14-and-16/specs/","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/10/21/affef2f0-c975-40b1-8b93-9edb2cf2044b.jpg.webp?ect=4g"
"1661944729-1426","https://www.tokopedia.com/search?page=3&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","Tokopedia TeknoApple Macbook Air MGN63ID/M1 8core CPU - 7core GPU 8GB 256GB 13""Rp15.900.000CashbackJakarta BaratMega Computindo5.0Terjual 16","https://www.tokopedia.com/megacomputindo/apple-macbook-air-mgn63id-m1-8core-cpu-7core-gpu-8gb-256gb-13?extParam=ivf%3Dfalse%26src%3Dsearch","Apple Macbook Air MGN63ID/M1 8core CPU - 7core GPU 8GB 256GB 13""","5","(4 rating)","Rp15.900.000","Terjual 16","Baru","3 kg","Laptop Consumer","Mega Computindo","4.8","Jakarta Barat","Wajib chat tanyakan stok sebelum order, stok produk berubah setiap saat.
- MC berikan Giveaway random product ke pembeli yg memberikan bintang*5, diacak & dihubungi.
- Jika Produk yang baru sampai tidak berfungsi, hub.kami, akan kami ganti unit baru.
- Kotak kemasan penyok saat pengiriman oleh kurir,silakan complain langsung ke bagian expedisi.
- Spesifikasi lengkap bisa cek di web ataupun mengunjungi youtube.
